,,,,,,
,,,,,,
,section,Section/ station,Line,From,To,Duration
,KPD - JTJ,JTJ - YD,UP,20.55 hrs,23.55 hrs,03.00 hrs
,KPD - JTJ,CGL - RDY,Single Line,01.00 hrs,04.00 hrs,03.00 hrs
,AJJ - CGL,RDY -  VB,Single Line,01.00 hrs,04.00 hrs,03.00 hrs
,AJJ - CGL,VB - PALR,Single Line,01.00 hrs,04.00 hrs,03.00 hrs
,AJJ - CGL,PALR - PYV,Single Line,01.00 hrs,04.00 hrs,03.00 hrs
,AJJ - CGL,PYV - WJ,Single Line,01.00 hrs,04.00 hrs,03.00 hrs
,AJJ - CGL,WJ - NTT,Single Line,01.00 hrs,04.00 hrs,03.00 hrs
,AJJ - CGL,NTT - CJ(O),Single Line,01.00 hrs,04.00 hrs,03.00 hrs
,AJJ - CGL,CJ(O) - CJ(E),Single Line,01.00 hrs,04.00 hrs,03.00 hrs
,AJJ - CGL,CJ(E) - TMLP,Single Line,01.00 hrs,04.00 hrs,03.00 hrs
,AJJ - CGL,TMLP - TKO,Single Line,01.00 hrs,04.00 hrs,03.00 hrs
,AJJ - CGL,TKO - MLPM,Single Line,01.00 hrs,04.00 hrs,03.00 hrs
,AJJ - CGL,MLPM - AJJ,Single Line,01.00 hrs,04.00 hrs,03.00 hrs
,AJJ - CGL,CGL - YD,Single Line,01.00 hrs,04.00 hrs,03.00 hrs
,AJJ - CGL,PALR - YD,Single Line,01.00 hrs,04.00 hrs,03.00 hrs
,AJJ - CGL,WJ - YD,Single Line,01.00 hrs,04.00 hrs,03.00 hrs
,AJJ - CGL,CJ(O) - YD,Single Line,01.00 hrs,04.00 hrs,03.00 hrs
,AJJ - CGL,CJ(E) - YD,Single Line,01.00 hrs,04.00 hrs,03.00 hrs
,AJJ - CGL,TMLP - YD,Single Line,01.00 hrs,04.00 hrs,03.00 hrs
,AJJ - CGL,MLPM - YD,Single Line,01.00 hrs,04.00 hrs,03.00 hrs
,AJJ - CGL,AJJ - YD,Single Line,01.00 hrs,04.00 hrs,03.00 hrs
,MAS - GDR,MMC - BBQ,Down,00.30 hrs,03.30 hrs,03.00 hrs
